,County,CrashYear,CrashMonth,Day of Week,CrashHour,SpeedLimit_upper_value,Age
241,Mecklenburg,2018,November,Wednesday,0,35,40
242,Caswell,2008,September,Saturday,6,55,55
243,Nash,2008,September,Tuesday,20,45,45
244,Harnett,2009,November,Saturday,18,55,16
245,Carteret,2010,November,Thursday,9,55,69
246,Onslow,2012,June,Sunday,10,45,60
247,Onslow,2012,December,Wednesday,16,35,58
248,Guilford,2014,June,Friday,10,15,71
249,Currituck,2014,October,Thursday,20,35,36
250,Pender,2016,March,Tuesday,20,45,34
251,Pender,2016,December,Sunday,17,55,23
252,Mecklenburg,2018,August,Saturday,1,45,18
253,Carteret,2018,September,Friday,20,55,20
254,Cleveland,2007,December,Monday,20,45,46
255,Orange,2008,June,Tuesday,8,55,59
256,Duplin,2008,August,Thursday,22,0,37
257,Forsyth,2009,July,Sunday,7,75,14
258,Vance,2010,August,Tuesday,21,45,48
